Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00520,0.00394,0.00010,0.00058,0.00058,0.00029,0.00078,0.00019,0.00000,0.00000,0.00000,0.00029,0.00010,0.00107,0.00122,0.00185,0.00204,0.00015,,0.00593,,0.00015,0.00049,,,62.71037,20569,4185,tesserae/texts/la/ausonius.epigrammata_ausonii_de_diversis_rebus.tess,328,
0.00582,0.00286,0.00005,0.00047,0.00047,0.00027,0.00048,0.00020,0.00002,0.00000,0.00000,0.00037,0.00003,0.00193,0.00131,0.00236,0.00133,0.00023,,0.00549,,0.00043,0.00010,,,138.25977,60143,11222,tesserae/texts/la/ausonius.epistularum.tess,435,
0.00367,0.00411,0.00015,0.00029,0.00029,0.00000,0.00073,0.00000,0.00000,0.00000,0.00000,0.00015,0.00000,0.00088,0.00029,0.00220,0.00235,0.00015,,0.00588,,0.00015,0.00044,,,79.12791,6805,1303,tesserae/texts/la/ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.tess,86,
0.00611,0.00378,0.00016,0.00056,0.00056,0.00052,0.00064,0.00028,0.00000,0.00004,0.00000,0.00004,0.00004,0.00229,0.00084,0.00314,0.00201,0.00109,,0.00732,,0.00036,0.00028,,,132.30319,24873,4335,tesserae/texts/la/ausonius.gratiarum_actio.tess,188,
0.00000,0.00145,0.00000,0.00000,0.00000,0.00000,0.00029,0.00087,0.00000,0.00000,0.00000,0.00000,0.00000,0.00058,0.00000,0.00261,0.00000,0.00000,,0.00550,,0.00029,0.00029,,,115.10000,3453,625,tesserae/texts/la/ausonius.griphus_ternarii_numeri.tess,30,
0.00493,0.00247,0.00000,0.00123,0.00123,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00370,0.00370,0.00740,0.00123,0.00000,,0.00493,,0.00000,0.00000,,,101.37500,811,154,tesserae/texts/la/ausonius.libri_de_fastis_conclusio.tess,8,
0.00491,0.00411,0.00013,0.00119,0.00119,0.00027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00013,0.00186,0.00119,0.00172,0.00066,0.00000,,0.00769,,0.00080,0.00000,,,80.19149,7538,1519,tesserae/texts/la/ausonius.ludus_septem_sapientum.tess,94,
0.00339,0.00211,0.00006,0.00022,0.00022,0.00033,0.00022,0.00000,0.00000,0.00000,0.00000,0.00022,0.00017,0.00056,0.00033,0.00428,0.00067,0.00011,,0.00261,,0.00011,0.00072,,,185.45361,17989,3054,tesserae/texts/la/ausonius.mosella.tess,97,
0.00196,0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00065,0.00327,0.00065,0.00065,0.00131,0.00131,,0.00065,,0.00000,0.00000,,,102.00000,1530,229,tesserae/texts/la/ausonius.oratio_consulis_ausonii_versibus_rhopalicis.tess,15,
0.00272,0.00305,0.00000,0.00080,0.00080,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00016,0.00096,0.00032,0.00353,0.00096,0.00000,,0.00529,,0.00016,0.00032,,,148.54762,6239,1091,tesserae/texts/la/ausonius.ordo_urbium_nobilium.tess,42,
0.00732,0.00332,0.00007,0.00041,0.00041,0.00027,0.00034,0.00014,0.00000,0.00000,0.00000,0.00000,0.00014,0.00095,0.00061,0.00244,0.00007,0.00020,,0.00725,,0.00054,0.00007,,,131.75000,14756,2718,tesserae/texts/la/ausonius.parentalia.tess,112,
0.00928,0.00265,0.00000,0.00000,0.00000,0.00066,0.00066,0.00066,0.00000,0.00000,0.00000,0.00033,0.00033,0.00232,0.00066,0.00365,0.00066,0.00033,,0.00696,,0.00000,0.00000,,,125.70833,3017,573,tesserae/texts/la/ausonius.praefatiunculae.tess,24,
0.00295,0.00221,0.00000,0.00148,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00074,0.00000,0.00148,0.00037,0.00184,0.00037,0.00000,,0.00332,,0.00074,0.00000,,,142.68421,2711,509,tesserae/texts/la/ausonius.precationes.tess,19,
0.00170,0.00170,0.00012,0.00012,0.00012,0.00049,0.00000,0.00012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00158,0.00133,0.00255,0.00376,0.00036,,0.00704,,0.00000,0.00049,,,75.60550,8241,1658,tesserae/texts/la/ausonius.technopaegnion.tess,109,
0.00525,0.00437,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00087,0.00000,0.00175,0.00000,0.00000,,0.00437,,0.00000,0.00000,,,142.87500,1143,195,tesserae/texts/la/ausonius.versus_paschales_pro_augusto_dicti.tess,8,
0.00127,0.00584,0.00030,0.00110,0.00110,0.00036,0.00125,0.00081,0.00003,0.00000,0.00000,0.00017,0.00007,0.00169,0.00043,0.00424,0.00019,0.00076,,0.00653,,0.00065,0.00043,,,172.33739,481683,82219,tesserae/texts/la/bede.historiam_ecclesiasticam_gentis_anglorum.tess,2795,
0.00107,0.00444,0.00021,0.00104,0.00104,0.00038,0.00085,0.00067,0.00001,0.00000,0.00000,0.00020,0.00010,0.00174,0.00061,0.00457,0.00034,0.00089,,0.00605,,0.00062,0.00029,,,166.71685,93028,15600,tesserae/texts/la/bede.historiam_ecclesiasticam_gentis_anglorum/bede.historiam_ecclesiasticam_gentis_anglorum.part.1.tess,558,
0.00231,0.00576,0.00026,0.00119,0.00119,0.00030,0.00139,0.00070,0.00001,0.00001,0.00000,0.00015,0.00011,0.00196,0.00054,0.00375,0.00022,0.00066,,0.00671,,0.00055,0.00036,,,185.27500,74110,12436,tesserae/texts/la/bede.historiam_ecclesiasticam_gentis_anglorum/bede.historiam_ecclesiasticam_gentis_anglorum.part.2.tess,400,
0.00084,0.00663,0.00029,0.00107,0.00107,0.00038,0.00146,0.00085,0.00004,0.00000,0.00000,0.00017,0.00007,0.00149,0.00035,0.00441,0.00019,0.00065,,0.00697,,0.00088,0.00044,,,170.12565,98843,17117,tesserae/texts/la/bede.historiam_ecclesiasticam_gentis_anglorum/bede.historiam_ecclesiasticam_gentis_anglorum.part.3.tess,581,
0.00088,0.00625,0.00043,0.00131,0.00131,0.00040,0.00133,0.00099,0.00006,0.00000,0.00001,0.00024,0.00006,0.00174,0.00044,0.00437,0.00007,0.00082,,0.00663,,0.00055,0.00050,,,174.10749,106902,18318,tesserae/texts/la/bede.historiam_ecclesiasticam_gentis_anglorum/bede.historiam_ecclesiasticam_gentis_anglorum.part.4.tess,614,
